0,"NAF1",old,"NAF2",new,Précisions sur la nature du lien,Commentaires  ,"Date 
modification","NAF 2
N liens","NAF 1
N liens",NAF 2 rang lien,NAF 1 rang lien
12,01.1Gp,Viticulture,01.21Z,Culture de la vigne,"CC : tout sauf NC
NC : - suppression de la convention affectant en  01.1G les unités assurant la production de vin  (15.9F et 15.9G) à partir de raisins produits sur la même exploitation  (01.1G)
- traitement des semences de vigne",,,0,1,1,1
49,01.1Gp,Viticulture,01.64Zp,Traitement des semences,CC : traitement des semences de vigne,,,1,1,5,2
157,01.1Gp,Viticulture,11.02Ap,Fabrication de vins effervescents,CA : suppression de la convention affectant en  01.1G les unités assurant la production de vins effervescents (15.9F) à partir de raisins produits sur la même exploitation   (01.1Gp),,,1,1,1,3
160,01.1Gp,Viticulture,11.02Bp,Vinification,CA : suppression de la convention affectant en  01.1G les unités assurant la production de vins non effervescents (15.9G) à partir de raisins produits sur la même exploitation  (01.1Gp) ,,,1,1,1,4
27,01.2Ap,Élevage de bovins,01.41Z,Élevage de vaches laitières,CC : élevage de vaches laitières (CPA 02 : 01.21.11p),,,0,1,1,1
28,01.2Ap,Élevage de bovins,01.42Z,Élevage d'autres bovins et de buffles,"CC : élevage de gros bovins pour la viande, le trait, la tauromachie (CPA 02 : 01.21.11p), élevage de veaux",,,0,1,1,2
29,01.2Cp,"Élevage d'ovins, caprins et équidés",01.43Z,Élevage de chevaux et d'autres équidés,"CC : élevage d'équidés
NC : exploitation de haras (CPA 02 : 01.22.13p)",,,0,1,1,1
31,01.2Cp,"Élevage d'ovins, caprins et équidés",01.45Z,Élevage d'ovins et de caprins,"CC : élevage d'ovins et de caprins 
NC : collecte de poils et crins divers (CPA 02 : 01.22.32)",,,0,1,1,2
34,01.2Cp,"Élevage d'ovins, caprins et équidés",01.49Zp,Élevage d'autres animaux,CA : collecte de poils divers (CPA 02 : 01.22.32p),,,1,1,1,3
39,01.2Cp,"Élevage d'ovins, caprins et équidés",01.62Zp,Activités de soutien à la production animale,"CA : exploitation de haras (CPA 02 : 01.22.13p)
",,,1,1,1,4
97,01.2Cp,"Élevage d'ovins, caprins et équidés",10.11Zp,Transformation et conservation de la  viande de boucherie,CA : collecte de crins de cheval (CPA 02 : 01.22.32p),,,1,1,1,5
32,01.2E,Élevage de porcins,01.46Z,Élevage de porcins,,,,0,0,1,1
33,01.2G,Élevage de volailles,01.47Z,Élevage de volailles,,,,0,0,1,1
30,01.2Jp,Élevage d'autres animaux,01.44Z,Élevage de chameaux et d'autres camélidés,CC : élevage de chameaux et d'autres camélidés (CPA 02 : 01.25.10p) ,,,0,1,1,1
35,01.2Jp,Élevage d'autres animaux,01.49Zp,Élevage d'autres animaux,"CC : élevage d'autres animaux  (CPA 02 : 01.25.10p, 01.25.2-3)
NC : - élevage de chameaux et d'autres camélidés (CPA 02 : 01.25.10p) 
- élevage de grenouilles, crocodiles, tortues dans des bassins d'eau douce (CPA 02 : 01.25.10p) ",,,1,1,2,2
62,01.2Jp,Élevage d'autres animaux,03.22Zp,Aquaculture en eau douce,"CA : élevage de grenouilles, crocodiles, tortues dans des bassins d'eau douce (CPA 02 : 01.25.10p) ",,,1,1,1,3
37,01.3Z,Culture et élevage associés,01.50Z,Culture et élevage associés,,,,0,0,1,1
38,01.4Ap,Services aux cultures productives,01.61Z,Activités de soutien aux cultures,"CC : activités de soutien aux cultures (CPA 02 : 01.41.11p)
NC : -  préparation des récoltes pour les marchés primaires (CPA 02 : 01.41.11p)
- préparation des légumes et des fruits de la 4ème gamme (épluchage, assortiment, conditionnement, y compris en atmosphère sans oxygène)",,,0,1,1,1
44,01.4Ap,Services aux cultures productives,01.63Zp,Traitement primaire des récoltes,CC: préparation des récoltes pour les marchés primaires (CPA 02 : 01.41.11p),,,1,1,3,2
106,01.4Ap,Services aux cultures productives,10.39Ap,Autre transformation et conservation de légumes,"CA : préparation des légumes de la 4ème gamme (épluchage, assortiment, conditionnement, y compris en atmosphère sans oxygène), pour compte de tiers",,,1,1,1,3
109,01.4Ap,Services aux cultures productives,10.39Bp,Transformation et conservation de fruits,"CA : préparation de fruits de la 4ème gamme (épluchage, assortiment et  conditionnement pour la vente, y compris en atmosphère sans oxygène), pour compte de tiers",,,1,1,1,4
1173,01.4B,Réalisation et entretien de plantations ornementales,81.30Z,Services d'aménagement paysager ,CC : aménagement paysager (CPA 02 : 01.41.12),,,0,0,1,1
40,01.4D,Services annexes à l'élevage,01.62Zp,Activités de soutien à la production animale,"CC : tout sauf NC
NC : exploitation de haras (CPA 02 : 01.22.13p)",,,1,0,2,1
50,01.5Zp,Chasse,01.70Z,"Chasse, piégeage et services annexes","CC : tout sauf NC
NC : activités de promotion commerciale de la chasse",,,0,1,1,1
1295,01.5Zp,Chasse,94.99Zp,Autres organisations fonctionnant par adhésion volontaire,CA : activités de promotion commerciale de la chasse,,,1,1,1,2
25,02.0Ap,Sylviculture,01.29Zp,Autres cultures permanentes,"CA: - production d'arbres de Noël (CPA 02 : 02.01.41p)
-  production d'écorces et autres matières végétales pour la teinture,  le tannage, la vannerie, la sparterie, le cannage et le rembourrage (CPA 02 : 02.01.42p) ",,,1,1,2,1
52,02.0Ap,Sylviculture,02.10Zp,Sylviculture et autres activités forestières,"CC : tout sauf NC
NC : - plants et semences d'arbres forestiers
- production d'arbres de Noël (CPA 02 : 02.01.41p) 
- collecte de gommes naturelles (CPA 02 : 02.01.2), de liège naturel brut (CPA 02 : 02.01.30), d'ornements végétaux (CPA 02 : 02.01.41p)
- production d'écorces et autres matières végétales pour la teinture,  le tannage, la vannerie, la sparterie, le cannage et le rembourrage (CPA 02 : 02.01.42p) ",,,1,1,2,2
56,02.0Ap,Sylviculture,02.30Zp,Récolte de produits forestiers non ligneux poussant à l'état sauvage,"CC :  collecte de gommes naturelles (CPA 02 : 02.01.2), de liège naturel brut (CPA 02 : 02.01.30), d'ornements végétaux (CPA 02 : 02.01.41p)
NC : production d'arbres de Noël (CPA 02 : 02.01.41p) ",,,1,1,3,3
53,02.0Bp,Exploitation forestière,02.20Z,Exploitation forestière,"CC : tout sauf NC
NC : production de bois d'industrie 
",,,0,1,1,1
212,02.0Bp,Exploitation forestière,16.10Ap,"Sciage et rabotage du bois, hors imprégnation",CA : fabrication de bois d'industrie (CPA 02 : 02.01.15),,,1,1,1,2
57,02.0D,Services forestiers,02.40Zp,Services de soutien à l'exploitation forestière,"CC : tout sauf NC
NC : services de conseils en gestion de forêts (CPA 02 : 74.14.17p)
",,,1,0,1,1
59,05.0Ap,Pêche,03.11Z,Pêche en mer,"CC : tout sauf NC
NC : gestion de stocks de pêche (CPA 02 : 05.00.50p)
",,,0,1,1,1
60,05.0Ap,Pêche,03.12Z,Pêche en eau douce,"CC : tout sauf NC
NC : gestion de stocks de pêche (CPA 02 : 05.00.50p)",,,0,1,1,2
1106,05.0Ap,Pêche,70.22Zp,Conseil pour les affaires et autres conseils de gestion,CA : gestion de stocks de pêche (CPA 02 : 05.00.50p),,,1,1,1,3
61,05.0Cp,"Pisciculture, aquaculture",03.21Z,Aquaculture en mer,,,,0,1,1,1
63,05.0Cp,"Pisciculture, aquaculture",03.22Zp,Aquaculture en eau douce,"CC : aquaculture en eau douce
NC : élevage de grenouilles, crocodiles, tortues dans des bassins d'eau douce (CPA 02 : 01.25.10p) ",,,1,1,2,2
64,10.1Zp,Extraction et agglomération de la houille,05.10Z,Extraction de houille,"CC : tout sauf NC
NC : -  fabrication d'agglomérés et de briquettes de houille (CPA  02 : 10.10.12)
-  activités de soutien à l'extraction de la houille (CPA 02 : 10.10.13)",,,0,1,1,1
83,10.1Zp,Extraction et agglomération de la houille,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction de la houille (CPA 02 : 10.10.13)
",,,1,1,1,2
247,10.1Zp,Extraction et agglomération de la houille,19.20Zp,Raffinage du pétrole,CA :  fabrication d'agglomérés et de briquettes de houille (CPA  02 : 10.10.12),,,1,1,1,3
65,10.2Zp,Extraction et agglomération du lignite,05.20Z,Extraction de lignite,"CC : tout sauf NC
NC : - fabrication d'agglomérés et de briquettes de lignite (CPA 02 : 10.20.10p)
- activités de soutien à l'extraction du lignite",,,0,1,1,1
84,10.2Zp,Extraction et agglomération du lignite,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction du lignite 
",,,1,1,2,2
248,10.2Zp,Extraction et agglomération du lignite,19.20Zp,Raffinage du pétrole,CA :  fabrication d'agglomérés et de briquettes de lignite (CPA 02 : 10.20.10p),,,1,1,2,3
78,10.3Zp,Extraction et agglomération de la tourbe,08.92Z,Extraction de tourbe,"CC :  tout sauf NC
NC : - fabrication d'agglomérés et de briquettes de tourbe (CPA 02 : 10.30.10p)
- activités de soutien à l'extraction de la tourbe",,,0,1,1,1
85,10.3Zp,Extraction et agglomération de la tourbe,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction de la tourbe
",,,1,1,3,2
249,10.3Zp,Extraction et agglomération de la tourbe,19.20Zp,Raffinage du pétrole,CA :  fabrication d'agglomérés et de briquettes de tourbe (CPA 02 : 10.30.10p),,,1,1,3,3
66,11.1Zp,Extraction d'hydrocarbures,06.10Z,Extraction de pétrole brut,"CC : - extraction de pétrole brut
- extraction de sables et de schistes bitumineux (et de pétrole associé)",,,0,1,1,1
67,11.1Zp,Extraction d'hydrocarbures,06.20Z,Extraction de gaz naturel,"CC : extraction de gaz naturel (y.c. désulfurisation)
NC : liquéfaction et regazéification du gaz naturel aux fins de transport",,,0,1,1,2
81,11.1Zp,Extraction d'hydrocarbures,09.10Zp,Activités de soutien à l'extraction d'hydrocarbures,CA :  liquéfaction et regazéification du gaz naturel aux fins de transport,,,1,1,1,3
82,11.2Z,Services annexes à l'extraction d'hydrocarbures,09.10Zp,Activités de soutien à l'extraction d'hydrocarbures,"CC : tout sauf NC
NC : liquéfaction et regazéification du gaz naturel aux fins de transport",,,1,0,2,1
69,12.0Zp,Extraction de minerais d'uranium,07.21Z,Extraction de minerais d'uranium et de thorium,"CC : tout sauf NC
NC : activités de soutien à l'extraction de minerais d'uranium",,,0,1,1,1
86,12.0Zp,Extraction de minerais d'uranium,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction et à la concentration de minerais d'uranium et de thorium
",,,1,1,4,2
68,13.1Zp,Extraction de minerais de fer,07.10Z,Extraction de minerais de fer,"CC : tout sauf NC
NC : activités de soutien à l'extraction de minerais de fer",,,0,1,1,1
87,13.1Zp,Extraction de minerais de fer,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction de minerais de fer
",,,1,1,5,2
70,13.2Zp,Extraction de minerais de métaux non ferreux,07.29Z,Extraction d'autres minerais de métaux non ferreux,"CC : tout sauf NC
NC : activités de soutien à l'extraction de minerais de métaux non ferreux",,,0,1,1,1
88,13.2Zp,Extraction de minerais de métaux non ferreux,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction de minerais de métaux non ferreux
",,,1,1,6,2
71,14.1Ap,Extraction de pierres ornementales et de construction,08.11Zp,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","CC : extraction de pierres ornementales et de construction
NC : activités de soutien à l'extraction de pierres ornementales et de construction",,,1,1,1,1
89,14.1Ap,Extraction de pierres ornementales et de construction,09.90Zp,Activités de soutien aux autres industries extractives ,CA : activités de soutien à l'extraction de pierres ornementales et de construction,,,1,1,7,2
72,14.1Cp,"Extraction de calcaire industriel, de gypse et de craie",08.11Zp,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","CC : extraction de  calcaire industriel, de gypse et de craie
NC : activités de soutien à l'extraction de  calcaire industriel, de gypse et de craie",,,1,1,2,1
90,14.1Cp,"Extraction de calcaire industriel, de gypse et de craie",09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction calcaire industriel, de gypse et de craie",,,1,1,8,2
73,14.1Ep,Extraction d'ardoise,08.11Zp,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise","CC : extraction d'ardoise
NC : activités de soutien à l'extraction d'ardoise",,,1,1,3,1
91,14.1Ep,Extraction d'ardoise,09.90Zp,Activités de soutien aux autres industries extractives ,CA : activités de soutien à l'extraction d'ardoise,,,1,1,9,2
74,14.2Ap,Production de sables et de granulats,08.12Zp,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin","CC : production de sables et de granulats
NC : activités de soutien à la production de sables et de granulats",,,1,1,1,1
92,14.2Ap,Production de sables et de granulats,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à la production de sables et de granulats
",,,1,1,10,2
75,14.2Cp,Extraction d'argiles et de kaolin,08.12Zp,"Exploitation de gravières et sablières, extraction d’argiles et de kaolin","CC : extraction d'argiles et de kaolin
NC : activités de soutien à l'extraction d'argiles et de kaolin",,,1,1,2,1
93,14.2Cp,Extraction d'argiles et de kaolin,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à l'extraction d'argiles et de kaolin
",,,1,1,11,2
76,14.3Zp,Extraction de minéraux pour l'industrie chimique et d'engrais naturels,08.91Zp,Extraction des minéraux chimiques et d'engrais minéraux ,"CC :  tout sauf NC
NC : - activités de soutien à l'extraction de minéraux pour l'industrie chimique et d'engrais naturels
-  ramassage du guano (CPA 02 : 24.15.60p)",,,1,1,1,1
94,14.3Zp,Extraction de minéraux pour l'industrie chimique et d'engrais naturels,09.90Zp,Activités de soutien aux autres industries extractives ,CA : activités de soutien à l'extraction de minéraux pour l'industrie chimique et d'engrais naturels,,,1,1,12,2
79,14.4Zp,Production de sel,08.93Z,Production de sel ,"CC : production de sel
NC : - traitement du sel pour la production de sel de table (CPA 02 : 14.40.10p)
- activités de soutien à la production de sel",,,0,1,1,1
95,14.4Zp,Production de sel,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien à la production de sel
",,,1,1,13,2
133,14.4Zp,Production de sel,10.84Zp,Fabrication de condiments et assaisonnements,CA : traitement du sel pour la production de sel de table (CPA 02 : 14.40.10p),,,1,1,1,3
80,14.5Zp,Activités extractives n.c.a.,08.99Z,Autres activités extractives n.c.a.,"CC :  tout sauf NC
NC : - activités de soutien aux activités extractives n.c.a.
- production de cendres et résidus issus de l'incinération des déchets (CPA 02 : 14.50.23p)",,,0,1,1,1
96,14.5Zp,Activités extractives n.c.a.,09.90Zp,Activités de soutien aux autres industries extractives ,"CA : activités de soutien aux activités extractives n.c.a.
",,,1,1,14,2
726,14.5Zp,Activités extractives n.c.a.,38.21Zp,Traitement et élimination des déchets non dangereux,CA : production de cendres et résidus issus de l'incinération des déchets (CPA 02 : 14.50.23p),,,1,1,1,3
36,15.1Ap,Production de viandes de boucherie,01.49Zp,Élevage d'autres animaux,CA : production d'embryons d'animaux pour la reproduction (CPA 02 : 15.11.40p),,,1,1,3,1
98,15.1Ap,Production de viandes de boucherie,10.11Zp,Transformation et conservation de la  viande de boucherie,"CC : tout sauf NC
NC : - collecte de crins de cheval (CPA 02 : 01.22.32p)
- production de viandes de lapins et de gibiers (CPA 02 : 15.12.13)
- production d'embryons d'animaux pour la reproduction (CPA 02 : 15.11.40p)",,,1,1,2,2
99,15.1Cp,Production de viandes de volailles,10.11Zp,Transformation et conservation de la viande de boucherie,CA : production de viandes de lapins et de gibiers (CPA 02 : 15.12.13),,,1,1,3,1
100,15.1Cp,Production de viandes de volailles,10.12Z,Transformation et conservation de la viande de volaille,"CC : tout sauf NC
NC : production de viandes de lapins et de gibiers (CPA 02 : 15.12.13)",,,0,1,1,2
101,15.1Ep,Préparation industrielle de produits à base de viandes,10.13A,Préparation industrielle de produits à base de viande,"CC : tout sauf NC
NC : -  fabrication de plats préparés à base de viande (CPA 02 : 15.13.12p)
- préparation industrielle d'extraits et jus de viandes, de poissons et d'autres animaux (CPA 02 : 15.13.12p)",,,0,1,1,1
135,15.1Ep,Préparation industrielle de produits à base de viandes,10.85Zp,Fabrication de plats préparés,CC : fabrication de plats préparés à base de viande (CPA 02 : 15.13.12p),,,1,1,1,2
144,15.1Ep,Préparation industrielle de produits à base de viandes,10.89Zp,Fabrication d'autres produits alimentaires n.c.a.,"CA : préparation industrielle d'extraits et jus de viandes, de poissons et d'autres animaux (CPA 02 : 15.13.12p)",,,1,1,1,3
102,15.1Fp,Charcuterie,10.13B,Charcuterie,"CC : tout sauf NC
NC :-  préparation artisanale d'extraits et jus de viandes, de poissons et d'autres animaux (CPA 02 : 15.13.12p)
- rôtisseries sans consommation sur place",,,0,1,1,1
145,15.1Fp,Charcuterie,10.89Zp,Fabrication d'autres produits alimentaires n.c.a.,"CA : préparation artisanale d'extraits et jus de viandes, de poissons et d'autres animaux (CPA 02 : 15.13.12p)",,,1,1,2,2
994,15.1Fp,Charcuterie,56.10Cp,Restauration de type rapide,CA :  rôtisseries sans consommation sur place,,,1,1,1,3
103,15.2Zp,Industrie du poisson,10.20Z,"Transformation et conservation de poisson, de crustacés et de mollusques","CC : tout sauf NC
NC : fabrication de plats préparés à base de poisson, crustacés ou mollusques (CPA 02 : 15.20.14p, 15.20.16p)",,,0,1,1,1
136,15.2Zp,Industrie du poisson,10.85Zp,Fabrication de plats préparés,"CC : fabrication de plats préparés à base de poisson, crustacés ou mollusques (CPA 02 : 15.20.14p, 15.20.16p) ",,,1,1,2,2
104,15.3Ap,Transformation et conservation de pommes de terre,10.31Z,Transformation et conservation de pommes de terre,"CC : tout sauf NC
NC : fabrication de plats préparés à base de pommes de terre (CPA 02 : 15.31.12p)",,,0,1,1,1
137,15.3Ap,Transformation et conservation de pommes de terre,10.85Zp,Fabrication de plats préparés,CC : fabrication de plats préparés à base de pommes de terre (CPA 02 : 15.31.12p),,,1,1,3,2
105,15.3C,Préparation de jus de fruits et légumes,10.32Z,Préparation de jus de fruits et légumes,,,,0,0,1,1
107,15.3Ep,Transformation et conservation de légumes,10.39Ap,Autre transformation et conservation de légumes,"CC : tout sauf NC
NC :  fabrication de plats préparés à base de légumes (CPA 02 : 15.33.14p)",,,1,1,2,1
138,15.3Ep,Transformation et conservation de légumes,10.85Zp,Fabrication de plats préparés,CC : fabrication de plats préparés à base de légumes (CPA 02 : 15.33.14p),,,1,1,4,2
110,15.3Fp,Transformation et conservation de fruits,10.39Bp,Transformation et conservation de fruits,"CC : tout sauf NC
NC :  fabrication de plats préparés à base de fruits (CPA 02 : 15.33.25p)",,,1,1,2,1
139,15.3Fp,Transformation et conservation de fruits,10.85Zp,Fabrication de plats préparés,CA : fabrication de plats préparés à base de fruits (CPA 02 : 15.33.25p),,,1,1,5,2
113,15.4A,Fabrication d'huiles et graisses brutes,10.41Ap,Fabrication d'huiles et graisses brutes,,,,1,0,2,1
114,15.4C,Fabrication d'huiles et graisses raffinées,10.41B,Fabrication d'huiles et graisses raffinées,,,,0,0,1,1
115,15.4E,Fabrication de margarine,10.42Z,Fabrication de margarine et graisses comestibles similaires,,,,0,0,1,1
116,15.5A,Fabrication de lait liquide et de produits frais,10.51A,Fabrication de lait liquide et de produits frais,,,,0,0,1,1
117,15.5B,Fabrication de beurre,10.51B,Fabrication de beurre,,,,0,0,1,1
118,15.5C,Fabrication de fromages,10.51C,Fabrication de fromage,,,,0,0,1,1
